,LSOA,Anti Semitic,Disability,Faith,Homophobic,Islamophobic,Racist,Transgender,Total All Incidents
1182,E01001209,,34.0,126.0,,82.0,163.0,,405.0
1183,E01001210,,,,37.0,,122.0,,159.0
1184,E01001211,,,191.0,39.0,119.0,161.0,,510.0
1185,E01001212,,31.0,,,,117.0,,148.0
1186,E01001213,,71.0,59.0,,37.0,120.0,,287.0
1187,E01001214,,,60.0,37.0,,35.0,,132.0
1188,E01001215,,34.0,192.0,37.0,77.0,127.0,36.0,503.0
1189,E01001216,,,,,,148.0,,148.0
1190,E01001217,,,61.0,,52.0,36.0,,149.0
1191,E01001218,,,,,,80.0,,80.0
1192,E01001219,,,,121.0,,90.0,,211.0
1193,E01001220,,,67.0,43.0,,117.0,,227.0
1194,E01001221,161.0,33.0,314.0,115.0,178.0,169.0,77.0,1047.0
1195,E01001222,137.0,,121.0,44.0,83.0,170.0,44.0,599.0
1196,E01001223,,,77.0,48.0,42.0,82.0,,249.0
1197,E01001224,,,65.0,39.0,,75.0,,179.0
1198,E01001225,,35.0,112.0,23.0,48.0,190.0,71.0,479.0
1199,E01001226,,,,,,119.0,,119.0
1200,E01001227,,,,42.0,,38.0,,80.0
1201,E01001228,,,,40.0,,159.0,,199.0
1202,E01001229,142.0,,60.0,,,134.0,,336.0
1203,E01001230,,36.0,,40.0,,119.0,42.0,237.0
1204,E01001231,,,55.0,89.0,45.0,119.0,,308.0
1205,E01001232,,,,34.0,,113.0,,147.0
1206,E01001233,,,113.0,34.0,,162.0,29.0,338.0
1207,E01001234,,,80.0,,39.0,150.0,52.0,321.0
1208,E01001235,152.0,,123.0,35.0,41.0,74.0,,425.0
1209,E01001236,167.0,,66.0,33.0,,42.0,,308.0
1210,E01001237,,,,35.0,,119.0,,154.0
1211,E01001238,,,59.0,82.0,42.0,197.0,,380.0
1212,E01001239,,,74.0,41.0,39.0,34.0,,188.0
1213,E01001240,,,129.0,85.0,71.0,73.0,,358.0
1214,E01001241,,76.0,134.0,,82.0,135.0,,427.0
1215,E01001242,121.0,,194.0,42.0,37.0,108.0,,502.0
1216,E01001243,,37.0,178.0,43.0,76.0,146.0,,480.0
1217,E01001244,,35.0,67.0,37.0,41.0,77.0,,257.0
1218,E01001245,144.0,34.0,50.0,,,121.0,,349.0
1219,E01001246,141.0,,104.0,38.0,37.0,86.0,,406.0
1220,E01001247,306.0,,192.0,43.0,76.0,195.0,,812.0
1221,E01001248,,,,,,84.0,,84.0
1222,E01001249,,79.0,198.0,71.0,122.0,183.0,45.0,698.0
1223,E01001250,,,102.0,34.0,85.0,165.0,42.0,428.0
1224,E01001251,,,,35.0,,93.0,,128.0
1225,E01001252,,38.0,69.0,40.0,41.0,198.0,,386.0
1226,E01001253,,,,40.0,,36.0,,76.0
1227,E01001254,,,,42.0,,83.0,,125.0
1228,E01001255,,,,82.0,,66.0,42.0,190.0
1229,E01001257,,32.0,59.0,,40.0,85.0,,216.0
1230,E01001258,,,,,,72.0,,72.0
1231,E01001259,,39.0,138.0,,80.0,154.0,,411.0
1232,E01001260,,,56.0,,45.0,124.0,,225.0
1233,E01001261,157.0,41.0,200.0,79.0,40.0,201.0,,718.0
1234,E01001262,,,60.0,40.0,,63.0,,163.0
1235,E01001263,,,53.0,75.0,39.0,81.0,,248.0
1236,E01001264,,,59.0,40.0,42.0,74.0,,215.0
1237,E01001265,,,,,,116.0,,116.0
1238,E01001266,,,65.0,,44.0,171.0,,280.0
1239,E01001267,,,65.0,40.0,42.0,123.0,,270.0
1240,E01001268,,,67.0,,42.0,79.0,,188.0
1241,E01001269,,,58.0,,40.0,115.0,,213.0
1242,E01001270,,,63.0,,39.0,89.0,37.0,228.0
1243,E01001271,,,,39.0,,90.0,,129.0
1244,E01001272,,,134.0,39.0,80.0,46.0,,299.0
1245,E01001273,,,55.0,,38.0,45.0,,138.0
1246,E01001274,,,,,,87.0,,87.0
1247,E01001275,171.0,,104.0,83.0,41.0,88.0,,487.0
1248,E01001276,,,171.0,74.0,80.0,165.0,,490.0
1249,E01001277,,,175.0,75.0,106.0,148.0,,504.0
1250,E01001278,,,130.0,40.0,68.0,165.0,,403.0
1251,E01001279,,,,,,34.0,,34.0
1252,E01001280,,,67.0,41.0,38.0,80.0,,226.0
1253,E01001281,,,62.0,,41.0,155.0,,258.0
1254,E01001282,,,57.0,43.0,35.0,78.0,,213.0
1255,E01001283,,40.0,57.0,83.0,,78.0,,258.0
1256,E01001284,,32.0,57.0,,41.0,86.0,,216.0
1257,E01001285,,43.0,55.0,77.0,40.0,84.0,,299.0
1258,E01001286,,,,40.0,,86.0,,126.0
1259,E01001287,,,61.0,68.0,41.0,79.0,,249.0
1260,E01001288,165.0,,113.0,43.0,35.0,113.0,38.0,507.0
1261,E01001289,,,,39.0,,79.0,,118.0
1262,E01001290,,36.0,56.0,39.0,34.0,74.0,,239.0
1263,E01001291,,,75.0,,48.0,95.0,,218.0
1264,E01001292,,,,,,39.0,,39.0
1265,E01001293,,,60.0,41.0,37.0,34.0,,172.0
1266,E01001294,,,50.0,,,34.0,,84.0
1267,E01001295,,,128.0,,,76.0,,204.0
1268,E01001296,,,54.0,,42.0,114.0,,210.0
1269,E01001297,,,,42.0,,72.0,,114.0
1270,E01001298,,,60.0,,,126.0,,186.0
1271,E01001299,151.0,,63.0,33.0,,77.0,,324.0
1272,E01001300,,,,38.0,,85.0,,123.0
1273,E01001301,,,51.0,76.0,44.0,129.0,42.0,342.0
1274,E01001302,,,65.0,31.0,,118.0,,214.0
1275,E01001303,,42.0,70.0,34.0,50.0,127.0,,323.0
1276,E01001304,,,60.0,,38.0,74.0,,172.0
1277,E01001305,,,,,,72.0,,72.0
1278,E01001306,,,,,,35.0,,35.0
1279,E01001307,138.0,,127.0,,45.0,125.0,,435.0
1280,E01001308,158.0,42.0,119.0,37.0,46.0,40.0,,442.0
1281,E01001309,,,,,,79.0,,79.0
1282,E01001310,,,,,,76.0,,76.0
1283,E01001311,,,,,,116.0,,116.0
1284,E01001312,,,63.0,40.0,36.0,83.0,,222.0
1285,E01001313,,,66.0,41.0,48.0,71.0,,226.0
1286,E01001314,,,,,,81.0,,81.0
1287,E01001315,,,,,,154.0,41.0,195.0
1288,E01001316,,,56.0,40.0,40.0,169.0,,305.0
1289,E01001317,,,,78.0,,86.0,48.0,212.0
1290,E01001318,,,60.0,,39.0,168.0,,267.0
1291,E01001319,,43.0,50.0,,40.0,39.0,,172.0
1292,E01001320,,,62.0,45.0,38.0,78.0,,223.0
1293,E01001321,,,59.0,72.0,47.0,116.0,42.0,336.0
1294,E01001322,,74.0,119.0,82.0,82.0,104.0,,461.0
1295,E01001323,162.0,,71.0,43.0,42.0,119.0,,437.0
1296,E01001324,,,139.0,40.0,70.0,128.0,,377.0
1297,E01001325,,39.0,56.0,,48.0,113.0,,256.0
1298,E01001326,,,53.0,39.0,42.0,155.0,40.0,329.0
1299,E01001327,,,118.0,,82.0,201.0,,401.0
1300,E01001328,,,68.0,71.0,36.0,165.0,,340.0
1301,E01001329,,44.0,,,,126.0,,170.0
1302,E01001330,,,111.0,70.0,77.0,122.0,42.0,422.0
1303,E01001331,,,,38.0,,92.0,,130.0
1304,E01001332,,39.0,65.0,,37.0,117.0,,258.0
1305,E01001333,,,181.0,120.0,77.0,154.0,,532.0
1306,E01001334,,,65.0,,39.0,88.0,,192.0
1307,E01001335,,,65.0,,42.0,144.0,,251.0
1308,E01001336,,41.0,56.0,,,69.0,,166.0
1309,E01001337,,36.0,117.0,35.0,77.0,173.0,,438.0
1310,E01001338,,,57.0,,44.0,81.0,,182.0
1311,E01001339,,38.0,,38.0,,122.0,,198.0
1312,E01001340,143.0,53.0,122.0,60.0,89.0,213.0,70.0,750.0
1313,E01001341,,,64.0,37.0,34.0,121.0,,256.0
1314,E01001342,,,,,,36.0,,36.0
1315,E01001343,,,,,,108.0,,108.0
1316,E01001344,,,61.0,,41.0,86.0,,188.0
1317,E01001345,,,126.0,,39.0,85.0,,250.0
1318,E01001346,147.0,,59.0,,,74.0,,280.0
1319,E01001347,,,66.0,38.0,46.0,117.0,,267.0
1320,E01001348,,,,52.0,,86.0,,138.0
1321,E01001349,,,67.0,,42.0,80.0,,189.0
1322,E01001350,148.0,,125.0,,76.0,75.0,,424.0
1323,E01001351,140.0,,184.0,69.0,114.0,147.0,37.0,691.0
1324,E01001352,168.0,,119.0,43.0,43.0,164.0,,537.0
1325,E01001353,,,59.0,,,92.0,39.0,190.0
1326,E01001354,,,72.0,90.0,,117.0,30.0,309.0
1327,E01001355,144.0,,123.0,42.0,42.0,121.0,40.0,512.0
1328,E01001356,,,183.0,90.0,135.0,124.0,,532.0
1329,E01001357,,,61.0,,,81.0,36.0,178.0
1330,E01001358,,36.0,57.0,41.0,35.0,108.0,,277.0
1331,E01001359,184.0,74.0,120.0,85.0,78.0,45.0,,586.0
1332,E01001360,147.0,,114.0,83.0,,85.0,,429.0
1333,E01001361,149.0,84.0,189.0,35.0,79.0,234.0,41.0,811.0
1334,E01001362,,39.0,125.0,91.0,41.0,135.0,,431.0
1335,E01001363,,,62.0,38.0,36.0,159.0,,295.0
1336,E01001364,,,185.0,36.0,120.0,132.0,,473.0
1337,E01001365,,44.0,62.0,35.0,37.0,90.0,,268.0
1338,E01001366,,34.0,126.0,,,115.0,,275.0
1339,E01001367,,35.0,120.0,76.0,40.0,157.0,,428.0
1340,E01001368,,,,,,127.0,,127.0
1341,E01001369,,35.0,129.0,39.0,41.0,155.0,,399.0
1342,E01001370,,,67.0,38.0,37.0,116.0,,258.0
1343,E01001371,,,116.0,134.0,34.0,123.0,,407.0
1344,E01001372,,,,36.0,,135.0,,171.0
1345,E01001373,,,63.0,,36.0,92.0,,191.0
1346,E01001374,,75.0,,41.0,,118.0,,234.0
1347,E01001375,,,125.0,49.0,79.0,33.0,,286.0
1348,E01001376,,,,,,76.0,,76.0
1349,E01001377,,,,,,81.0,,81.0
1350,E01001379,,,,,,37.0,,37.0
1351,E01001380,,,55.0,66.0,36.0,43.0,,200.0
1352,E01001381,143.0,,116.0,41.0,78.0,155.0,,533.0
1353,E01001382,,,,35.0,,39.0,,74.0
1354,E01001383,,,65.0,,,82.0,34.0,181.0
1355,E01001384,,,62.0,,35.0,112.0,,209.0
1356,E01001385,,,56.0,42.0,37.0,109.0,,244.0
1357,E01001386,,,,37.0,,201.0,,238.0
1358,E01001387,,,63.0,79.0,40.0,149.0,,331.0
1359,E01001388,,76.0,137.0,77.0,37.0,160.0,38.0,525.0
1360,E01001389,,41.0,135.0,78.0,79.0,76.0,39.0,448.0
1361,E01001390,322.0,,131.0,,,83.0,,536.0
1362,E01001391,,33.0,,,,42.0,,75.0
1363,E01001392,,,,38.0,,42.0,,80.0
1364,E01001393,302.0,36.0,119.0,32.0,,113.0,,602.0
1365,E01001394,167.0,,60.0,34.0,36.0,68.0,37.0,402.0
1366,E01001395,,,51.0,41.0,40.0,74.0,,206.0
1367,E01001396,140.0,36.0,114.0,,,111.0,,401.0
1368,E01001397,,,56.0,35.0,38.0,128.0,,257.0
1369,E01001398,,,,40.0,,77.0,,117.0
1370,E01001399,,,,,,37.0,,37.0
1371,E01001400,,,,38.0,,68.0,,106.0
1372,E01001401,,35.0,63.0,39.0,39.0,38.0,,214.0
1373,E01001402,,32.0,,40.0,,116.0,,188.0
1374,E01001403,,,,,,76.0,,76.0
1375,E01001404,169.0,,65.0,,,75.0,,309.0
1376,E01001405,163.0,,62.0,87.0,,109.0,,421.0
1377,E01001406,,75.0,55.0,41.0,,125.0,,296.0
1378,E01001407,,,62.0,39.0,,79.0,,180.0
1379,E01001408,,,62.0,36.0,41.0,123.0,37.0,299.0
1380,E01001409,,,,42.0,,148.0,37.0,227.0
1381,E01001410,,,,39.0,,79.0,89.0,207.0
1382,E01001411,,,56.0,31.0,,93.0,,180.0
1383,E01001412,,73.0,178.0,89.0,38.0,159.0,,537.0
1384,E01001413,,,,,,40.0,,40.0
1385,E01001414,,,61.0,,45.0,85.0,46.0,237.0
1386,E01001415,151.0,,115.0,41.0,35.0,73.0,,415.0
1387,E01001416,,49.0,56.0,,42.0,84.0,,231.0
1388,E01001417,,,,,,39.0,,39.0
1389,E01001418,,,,,,118.0,,118.0
1390,E01001419,288.0,,131.0,72.0,,165.0,,656.0
1391,E01001420,172.0,,63.0,42.0,,75.0,,352.0
1392,E01001421,153.0,,119.0,,41.0,133.0,,446.0
1393,E01001422,,,,,,73.0,,73.0
1394,E01001423,,,,83.0,,79.0,,162.0
1395,E01001424,,69.0,,39.0,,88.0,,196.0
1396,E01001425,,38.0,140.0,71.0,87.0,149.0,,485.0
1397,E01001426,,,53.0,,35.0,84.0,40.0,212.0
1398,E01001427,163.0,,126.0,43.0,84.0,101.0,,517.0
1399,E01001428,,38.0,136.0,39.0,83.0,116.0,,412.0
1400,E01001429,462.0,77.0,180.0,87.0,40.0,199.0,77.0,1122.0
1401,E01001430,,,61.0,,43.0,108.0,,212.0
1402,E01001431,,,65.0,34.0,38.0,80.0,,217.0
1403,E01001432,,66.0,59.0,,49.0,156.0,73.0,403.0
1404,E01001433,,,53.0,,35.0,109.0,,197.0
1405,E01001434,,,106.0,37.0,80.0,39.0,,262.0
1406,E01001435,,,,,,74.0,,74.0
1407,E01001436,,,,39.0,,126.0,,165.0
1408,E01001437,470.0,,204.0,,45.0,136.0,,855.0
1409,E01001438,,,51.0,87.0,40.0,150.0,,328.0
1410,E01001439,143.0,77.0,127.0,42.0,46.0,126.0,,561.0
1411,E01001440,,,123.0,40.0,,116.0,,279.0
1412,E01001441,,,52.0,70.0,43.0,155.0,,320.0
1413,E01001442,,,68.0,81.0,38.0,126.0,,313.0
1414,E01001444,,,,,,127.0,,127.0
1415,E01001445,,,64.0,,41.0,105.0,,210.0
1416,E01001446,160.0,,61.0,,,110.0,,331.0
1417,E01001447,,,69.0,,38.0,167.0,,274.0
1418,E01001448,,,52.0,,46.0,64.0,,162.0
1419,E01001449,,,53.0,,42.0,127.0,,222.0
1420,E01001450,173.0,35.0,53.0,84.0,,182.0,,527.0
1421,E01001451,162.0,,67.0,,,119.0,,348.0
1422,E01001452,,,,,,37.0,,37.0
1423,E01001453,,,,,,126.0,,126.0
1424,E01001454,,,60.0,,,114.0,,174.0
1425,E01001455,,,60.0,,,85.0,,145.0
1426,E01001456,157.0,,60.0,,,83.0,,300.0
1427,E01001457,186.0,32.0,67.0,39.0,,81.0,,405.0
1428,E01001458,,,66.0,,,93.0,,159.0
1429,E01001459,,,126.0,40.0,77.0,115.0,,358.0
1430,E01001460,,32.0,132.0,90.0,37.0,170.0,35.0,496.0
1431,E01001461,,,,39.0,,150.0,,189.0
1432,E01001462,,,64.0,136.0,46.0,83.0,86.0,415.0
1433,E01001463,,,,,,43.0,,43.0
1434,E01001464,,,,36.0,,49.0,,85.0
1435,E01001465,,,,38.0,,124.0,35.0,197.0
1436,E01001466,,,,41.0,,74.0,,115.0
1437,E01001467,,,,,,76.0,,76.0
1438,E01001468,,,68.0,76.0,,125.0,,269.0
1439,E01001469,,39.0,66.0,,,82.0,,187.0
1440,E01001470,,,61.0,,38.0,38.0,,137.0
1441,E01001471,159.0,,117.0,,42.0,83.0,,401.0
1442,E01001472,,,56.0,,,66.0,,122.0
1443,E01001473,,,,,,70.0,,70.0
1444,E01001474,,,,,,80.0,,80.0
1445,E01001475,,34.0,119.0,38.0,41.0,,,232.0
1446,E01001476,,,62.0,,,155.0,,217.0
1447,E01001477,150.0,,67.0,,41.0,76.0,,334.0
1448,E01001478,,,64.0,,,44.0,,108.0
1449,E01001479,,,55.0,42.0,35.0,128.0,,260.0
1450,E01001480,,32.0,,,,110.0,,142.0
1451,E01001481,145.0,,124.0,41.0,42.0,49.0,,401.0
1452,E01001482,,,,43.0,,113.0,,156.0
1453,E01001483,,,61.0,36.0,35.0,78.0,,210.0
1454,E01001484,,,,,,68.0,,68.0
1455,E01001485,,,62.0,35.0,44.0,76.0,,217.0
1456,E01001486,,,80.0,,34.0,108.0,,222.0
1457,E01001487,,,57.0,43.0,42.0,119.0,,261.0
1458,E01001488,145.0,35.0,59.0,36.0,,71.0,,346.0
1459,E01001489,,,128.0,,74.0,129.0,,331.0
1460,E01001491,156.0,,58.0,42.0,49.0,69.0,,374.0
1461,E01001492,,,55.0,,,83.0,,138.0
1462,E01001493,,,56.0,29.0,42.0,113.0,,240.0
1463,E01001494,,,,34.0,,83.0,,117.0
1464,E01001495,,,,,,130.0,,130.0
1465,E01001496,158.0,,55.0,,,124.0,,337.0
1466,E01001497,159.0,,56.0,,,38.0,,253.0
1467,E01001498,,,182.0,75.0,110.0,123.0,,490.0
1468,E01001499,,,,,,77.0,,77.0
1469,E01001500,,,69.0,,33.0,71.0,,173.0
1470,E01001501,,,51.0,,44.0,74.0,,169.0
1471,E01001502,,39.0,55.0,43.0,34.0,86.0,,257.0
1472,E01001503,,28.0,119.0,76.0,40.0,146.0,,409.0
1473,E01001504,,,,39.0,,77.0,,116.0
1474,E01001505,,,,41.0,,205.0,,246.0
1475,E01001506,,,131.0,,72.0,114.0,52.0,369.0
1476,E01001507,,44.0,183.0,83.0,70.0,168.0,,548.0
1477,E01001508,,,,37.0,,117.0,,154.0
1478,E01001509,,41.0,,,,76.0,,117.0
1479,E01001510,,29.0,,,,108.0,,137.0
1480,E01001511,,63.0,58.0,,37.0,169.0,,327.0
1481,E01001512,,31.0,67.0,45.0,,171.0,,314.0
1482,E01001513,161.0,72.0,176.0,88.0,65.0,155.0,38.0,755.0
1483,E01001514,,44.0,,45.0,,113.0,,202.0
1484,E01001515,,,56.0,85.0,42.0,209.0,,392.0
1485,E01001516,,37.0,65.0,37.0,32.0,166.0,,337.0
1486,E01001517,169.0,,203.0,45.0,79.0,116.0,,612.0
1487,E01001518,142.0,,118.0,44.0,40.0,157.0,41.0,542.0
1488,E01001519,324.0,,182.0,35.0,84.0,118.0,,743.0
1489,E01001520,,42.0,,39.0,,68.0,,149.0
1490,E01001521,,37.0,123.0,40.0,40.0,,,240.0
1491,E01001522,,,,37.0,,134.0,,171.0
1492,E01001523,,,,,,76.0,,76.0
1493,E01001524,341.0,,119.0,,37.0,79.0,,576.0
1494,E01001525,325.0,,188.0,,31.0,118.0,,662.0
1495,E01001526,153.0,,120.0,40.0,41.0,39.0,,393.0
1496,E01001527,159.0,,120.0,,,118.0,,397.0
1497,E01001528,,,,,,159.0,,159.0
1498,E01001529,,,,39.0,,68.0,38.0,145.0
1499,E01001530,,,,42.0,,117.0,,159.0
1500,E01001532,,,,36.0,,83.0,48.0,167.0
1501,E01001534,179.0,,109.0,38.0,,186.0,,512.0
1502,E01001535,,,,40.0,,,54.0,94.0
1503,E01001536,164.0,36.0,52.0,75.0,42.0,80.0,,449.0
1504,E01001537,,,122.0,38.0,,175.0,,335.0
1505,E01001538,,38.0,,,,38.0,,76.0
1506,E01001539,,,,,,40.0,,40.0
1507,E01001540,,,67.0,49.0,,79.0,38.0,233.0
1508,E01001541,,,,42.0,,41.0,,83.0
1509,E01001542,,,60.0,38.0,44.0,74.0,35.0,251.0
1510,E01001543,,,,,,35.0,,35.0
1511,E01001544,,,,,,150.0,,150.0
1512,E01001545,,,63.0,46.0,37.0,123.0,,269.0
1513,E01001546,159.0,,55.0,45.0,,74.0,33.0,366.0
1514,E01001547,149.0,,70.0,42.0,38.0,112.0,,411.0
1515,E01001548,,77.0,,,,111.0,,188.0
1516,E01001549,,,,72.0,,119.0,,191.0
1517,E01001550,,42.0,,,,112.0,,154.0
1518,E01001551,,,70.0,37.0,38.0,174.0,,319.0
1519,E01001552,,,59.0,,43.0,70.0,,172.0
1520,E01001553,172.0,,118.0,40.0,41.0,75.0,,446.0
1521,E01001554,,,144.0,,82.0,86.0,,312.0
1522,E01001555,,42.0,59.0,37.0,44.0,172.0,37.0,391.0
1523,E01001556,,,,,,41.0,,41.0
1524,E01001557,,43.0,,,,80.0,,123.0
1525,E01001558,,33.0,202.0,43.0,119.0,123.0,40.0,560.0
1526,E01001559,,78.0,58.0,46.0,39.0,197.0,,418.0
1527,E01001560,,38.0,,,,69.0,,107.0
1528,E01001562,,,121.0,,46.0,136.0,47.0,350.0
1529,E01001563,,,124.0,,,91.0,,215.0
1530,E01001564,,,,39.0,,43.0,,82.0
1531,E01001565,,,,,,42.0,,42.0
1532,E01001566,,,,,,80.0,,80.0
1533,E01001567,,,,,,32.0,,32.0
1534,E01001568,,,,47.0,,,,47.0
1535,E01001569,156.0,,63.0,37.0,,83.0,,339.0
1536,E01001570,,,53.0,,,108.0,,161.0
1537,E01001571,,,,,,124.0,,124.0
1538,E01001572,,32.0,,,,77.0,,109.0
1539,E01001573,,,,,,114.0,,114.0
1540,E01001574,,,,44.0,,160.0,,204.0
1541,E01001575,,40.0,59.0,39.0,38.0,161.0,,337.0
1542,E01001576,,39.0,123.0,,93.0,143.0,45.0,443.0
1543,E01001577,,74.0,63.0,37.0,35.0,75.0,,284.0
1544,E01001578,,,,43.0,,122.0,40.0,205.0
1545,E01001579,,39.0,,44.0,,120.0,,203.0
1546,E01001580,,33.0,69.0,92.0,34.0,122.0,,350.0
1547,E01001581,,30.0,67.0,42.0,,167.0,,306.0
1548,E01001582,,,54.0,40.0,42.0,122.0,,258.0
1549,E01001583,,,,,,119.0,,119.0
1550,E01001584,167.0,,56.0,,,85.0,,308.0
1551,E01001585,,,,,,106.0,,106.0
1552,E01001586,,35.0,,36.0,,113.0,,184.0
1553,E01001587,,36.0,67.0,79.0,38.0,73.0,,293.0
1554,E01001588,,,61.0,36.0,41.0,158.0,,296.0
1555,E01001589,,71.0,128.0,37.0,81.0,157.0,44.0,518.0
1556,E01001590,,,65.0,,43.0,122.0,34.0,264.0
1557,E01001591,,44.0,78.0,,38.0,162.0,,322.0
1558,E01001592,,,,,,92.0,,92.0
1559,E01001593,,,124.0,39.0,43.0,145.0,,351.0
1560,E01001594,,74.0,49.0,40.0,35.0,70.0,,268.0
1561,E01001595,,,,86.0,,78.0,,164.0
1562,E01001596,,49.0,,,,85.0,,134.0
1563,E01001597,,38.0,113.0,41.0,41.0,105.0,,338.0
1564,E01001598,,46.0,,80.0,,83.0,,209.0
1565,E01001599,160.0,73.0,72.0,,,78.0,,383.0
1566,E01001600,145.0,,60.0,36.0,,113.0,,354.0
1567,E01001601,,,,41.0,,86.0,,127.0
1568,E01001602,,,,39.0,,104.0,,143.0
1569,E01001603,,73.0,70.0,,42.0,113.0,,298.0
1570,E01001604,172.0,,122.0,42.0,,151.0,,487.0
1571,E01001605,,,,,,88.0,39.0,127.0
1572,E01001606,,,,,,73.0,,73.0
1573,E01001607,,,,,,173.0,,173.0
1574,E01001608,,,,30.0,,72.0,32.0,134.0
1575,E01001609,,,68.0,41.0,41.0,206.0,,356.0
1576,E01001610,,,,,,79.0,,79.0
1577,E01001611,,,111.0,,38.0,43.0,,192.0
1578,E01001613,,,,,,88.0,27.0,115.0
1579,E01001614,,,140.0,40.0,81.0,128.0,43.0,432.0
1580,E01001615,,33.0,124.0,38.0,77.0,111.0,,383.0
1581,E01001617,,,65.0,,31.0,76.0,,172.0
1582,E01001618,173.0,,55.0,36.0,,109.0,,373.0
1583,E01001619,,,56.0,40.0,36.0,108.0,,240.0
1584,E01001620,,,69.0,,43.0,121.0,,233.0
1585,E01001621,,81.0,63.0,98.0,41.0,170.0,,453.0
1586,E01001623,,41.0,,,,122.0,,163.0
1587,E01001624,,,,39.0,,77.0,,116.0
1588,E01001625,,,67.0,,,113.0,,180.0
1589,E01001629,,35.0,180.0,,128.0,131.0,,474.0
1590,E01001631,,73.0,104.0,124.0,83.0,106.0,,490.0
1591,E01001632,,,,,,114.0,,114.0
1592,E01001633,,39.0,59.0,39.0,40.0,121.0,,298.0
1593,E01001634,,35.0,,45.0,,74.0,,154.0
1594,E01001635,,,,30.0,,90.0,,120.0
1595,E01001636,,,70.0,44.0,42.0,116.0,,272.0
1596,E01001637,148.0,,151.0,41.0,,85.0,,425.0
1597,E01001638,,,,,,84.0,38.0,122.0
1598,E01001640,,32.0,128.0,79.0,71.0,200.0,,510.0
1599,E01001641,,37.0,65.0,120.0,43.0,214.0,42.0,521.0
1600,E01001642,,,64.0,72.0,,128.0,,264.0
1601,E01001644,,73.0,66.0,88.0,39.0,120.0,,386.0
1602,E01001645,,39.0,60.0,37.0,35.0,40.0,,211.0
1603,E01001646,,30.0,,34.0,,105.0,,169.0
1604,E01001647,,,,,,73.0,,73.0
1605,E01001648,,,131.0,76.0,42.0,111.0,,360.0
1606,E01001649,,41.0,48.0,40.0,36.0,121.0,,286.0
1607,E01001650,,,,33.0,,128.0,,161.0
1608,E01001651,147.0,,61.0,80.0,38.0,87.0,,413.0
1609,E01001652,,,,,,118.0,,118.0
1610,E01001653,,,,,,122.0,,122.0
1611,E01001654,149.0,,122.0,,,162.0,,433.0
1612,E01001655,149.0,66.0,121.0,42.0,31.0,155.0,,564.0
1613,E01001656,139.0,,68.0,,,151.0,,358.0
1614,E01001657,,,,40.0,,75.0,,115.0
1615,E01001658,,,,,,119.0,,119.0
1616,E01001659,,40.0,66.0,86.0,36.0,123.0,,351.0
1617,E01001660,,,50.0,,39.0,81.0,,170.0
1618,E01001661,,39.0,,,,122.0,,161.0
1619,E01001662,,,63.0,80.0,44.0,139.0,40.0,366.0
1620,E01001664,,31.0,115.0,32.0,63.0,80.0,,321.0
1621,E01001665,175.0,,107.0,39.0,42.0,110.0,,473.0
1622,E01001666,,,52.0,43.0,42.0,198.0,41.0,376.0
1623,E01001667,166.0,38.0,133.0,85.0,80.0,158.0,36.0,696.0
1624,E01001668,,,,77.0,,125.0,,202.0
1625,E01001669,,31.0,,127.0,,81.0,,239.0
1626,E01001671,,,62.0,121.0,43.0,81.0,,307.0
1627,E01001672,,38.0,129.0,68.0,75.0,83.0,,393.0
1628,E01001673,,38.0,68.0,40.0,33.0,165.0,,344.0
1629,E01001674,,42.0,67.0,,43.0,125.0,,277.0
1630,E01001675,,,68.0,45.0,32.0,157.0,76.0,378.0
1631,E01001676,,37.0,55.0,44.0,40.0,78.0,,254.0
1632,E01001677,,,205.0,44.0,75.0,118.0,,442.0
1633,E01001678,,38.0,,43.0,,74.0,36.0,191.0
1634,E01001679,,,,81.0,,40.0,,121.0
1635,E01001680,162.0,31.0,49.0,80.0,,45.0,,367.0
1636,E01001681,,,,,,174.0,,174.0
1637,E01001682,,74.0,,44.0,,118.0,,236.0
1638,E01001683,,40.0,59.0,,44.0,155.0,,298.0
1639,E01001684,,71.0,,48.0,,74.0,34.0,227.0
1640,E01001685,,,62.0,,44.0,108.0,,214.0
1641,E01001686,,,,,,157.0,,157.0
1642,E01001687,,,113.0,45.0,39.0,152.0,,349.0
1643,E01001688,,63.0,119.0,,91.0,128.0,,401.0
1644,E01001690,,37.0,,84.0,,131.0,,252.0
1645,E01001692,,,,83.0,,125.0,42.0,250.0
1646,E01001693,,39.0,67.0,82.0,39.0,110.0,45.0,382.0
1647,E01001694,,37.0,63.0,,45.0,163.0,,308.0
1648,E01001695,,36.0,58.0,62.0,,83.0,,239.0
1649,E01001696,125.0,69.0,130.0,76.0,77.0,216.0,,693.0
1650,E01001697,,,,116.0,,144.0,35.0,295.0
1651,E01001698,,,,31.0,,125.0,,156.0
1652,E01001699,,34.0,,,,77.0,65.0,176.0
1653,E01001700,166.0,37.0,64.0,78.0,,177.0,,522.0
1654,E01001701,,73.0,130.0,82.0,88.0,123.0,37.0,533.0
1655,E01001702,,,52.0,73.0,42.0,122.0,,289.0
1656,E01001703,,39.0,64.0,,42.0,124.0,,269.0
1657,E01001704,,35.0,,47.0,,76.0,,158.0
1658,E01001705,,45.0,121.0,40.0,78.0,110.0,,394.0
1659,E01001706,,,,51.0,,135.0,,186.0
