LSOA,Anti Semitic,Disability,Faith,Homophobic,Islamophobic,Racist,Transgender,Total All Incidents,AntiSem_and_Islam,Faith_noIslamAntiSem
E01004654,0.0,0.0,115.0,117.0,27.0,167.0,0.0,426.0,27.0,88.0
E01004656,327.0,0.0,115.0,112.0,41.0,187.0,42.0,824.0,368.0,-253.0
E01004657,296.0,0.0,242.0,88.0,116.0,204.0,41.0,987.0,412.0,-170.0
E01004658,453.0,77.0,242.0,71.0,92.0,225.0,0.0,1160.0,545.0,-303.0
E01004659,0.0,0.0,116.0,49.0,78.0,133.0,0.0,376.0,78.0,38.0
E01004660,290.0,29.0,119.0,44.0,39.0,156.0,30.0,707.0,329.0,-210.0
E01004661,298.0,0.0,248.0,151.0,116.0,152.0,88.0,1053.0,414.0,-166.0
E01004662,179.0,0.0,123.0,79.0,40.0,122.0,43.0,586.0,219.0,-96.0
E01004663,0.0,0.0,55.0,75.0,44.0,87.0,0.0,261.0,44.0,11.0
E01004665,0.0,28.0,62.0,72.0,0.0,120.0,44.0,326.0,0.0,62.0
E01004666,329.0,37.0,195.0,75.0,76.0,213.0,39.0,964.0,405.0,-210.0
E01004667,0.0,35.0,0.0,42.0,0.0,164.0,39.0,280.0,0.0,0.0
E01004668,0.0,79.0,55.0,73.0,45.0,117.0,0.0,369.0,45.0,10.0
E01004669,0.0,82.0,173.0,43.0,83.0,120.0,36.0,537.0,83.0,90.0
E01004670,147.0,0.0,127.0,36.0,80.0,108.0,40.0,538.0,227.0,-100.0
E01004674,170.0,0.0,114.0,43.0,81.0,133.0,0.0,541.0,251.0,-137.0
E01004675,130.0,73.0,140.0,45.0,80.0,161.0,0.0,629.0,210.0,-70.0
E01004676,142.0,0.0,108.0,40.0,41.0,115.0,0.0,446.0,183.0,-75.0
E01004677,0.0,0.0,130.0,128.0,79.0,114.0,0.0,451.0,79.0,51.0
E01004678,161.0,32.0,123.0,43.0,77.0,164.0,41.0,641.0,238.0,-115.0
E01004679,0.0,44.0,134.0,80.0,66.0,162.0,0.0,486.0,66.0,68.0
E01004680,177.0,0.0,183.0,81.0,120.0,210.0,38.0,809.0,297.0,-114.0
E01004681,168.0,0.0,71.0,78.0,0.0,152.0,40.0,509.0,168.0,-97.0
E01004682,0.0,0.0,60.0,35.0,33.0,169.0,48.0,345.0,33.0,27.0
E01004683,171.0,0.0,142.0,0.0,43.0,159.0,36.0,551.0,214.0,-72.0
E01004684,0.0,0.0,67.0,46.0,41.0,111.0,0.0,265.0,41.0,26.0
E01004686,194.0,0.0,122.0,114.0,74.0,154.0,43.0,701.0,268.0,-146.0
E01004687,309.0,0.0,130.0,39.0,0.0,162.0,0.0,640.0,309.0,-179.0
E01004688,317.0,0.0,200.0,83.0,41.0,158.0,0.0,799.0,358.0,-158.0
E01004689,487.0,0.0,254.0,81.0,147.0,149.0,91.0,1209.0,634.0,-380.0
E01004690,0.0,0.0,70.0,46.0,34.0,177.0,0.0,327.0,34.0,36.0
