,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
975,E01001001,False,False,False,False,False,False,False,False
976,E01001002,False,False,False,False,False,False,False,False
977,E01001003,False,False,False,False,False,False,False,False
978,E01001004,False,False,False,False,False,False,False,False
979,E01001005,False,False,False,False,False,False,False,False
980,E01001006,False,False,False,False,False,False,False,False
981,E01001007,False,False,False,False,False,False,False,False
982,E01001008,False,False,False,False,False,False,False,False
983,E01001009,False,False,False,False,False,False,False,False
984,E01001010,False,False,False,False,False,True,False,False
985,E01001011,False,False,False,False,False,False,False,False
986,E01001012,False,False,False,False,False,False,False,False
987,E01001013,False,False,False,False,False,False,False,False
988,E01001014,True,False,False,False,False,True,False,True
989,E01001015,False,False,False,False,False,False,False,False
990,E01001016,False,False,False,False,False,False,False,False
991,E01001017,False,False,False,False,False,False,False,False
992,E01001018,False,False,False,False,False,False,False,False
993,E01001019,False,False,False,False,False,False,False,False
994,E01001020,False,False,False,False,False,False,False,False
995,E01001021,False,False,False,False,False,False,False,False
996,E01001022,False,False,False,False,False,False,False,False
997,E01001023,True,False,False,False,False,True,False,False
998,E01001024,True,False,False,False,False,False,False,False
999,E01001025,False,False,False,False,False,False,True,False
1000,E01001026,False,False,False,False,False,False,False,False
1001,E01001027,False,False,False,False,False,False,True,False
1002,E01001028,False,False,False,False,False,False,False,False
1003,E01001029,False,False,False,False,False,False,False,False
1004,E01001030,False,False,False,False,False,False,False,False
1005,E01001031,False,False,False,False,False,False,False,False
1006,E01001032,False,False,False,False,False,False,False,False
1007,E01001033,False,False,False,False,False,False,False,False
1008,E01001034,False,False,False,False,False,False,False,False
1009,E01001035,False,False,False,False,False,False,False,False
1010,E01001036,False,False,False,False,False,False,False,False
1011,E01001037,False,False,False,False,False,False,False,False
1012,E01001038,False,False,False,False,False,False,False,False
1013,E01001039,False,False,False,False,False,False,False,False
1014,E01001040,False,False,False,False,False,False,False,False
1015,E01001041,True,False,False,False,False,False,False,False
1016,E01001042,False,False,False,False,False,True,False,False
1017,E01001043,True,True,False,False,False,True,False,False
1018,E01001044,False,False,False,False,False,False,False,False
1019,E01001045,True,False,False,True,False,True,False,False
1020,E01001046,False,False,False,False,False,False,False,False
1021,E01001047,False,False,False,False,False,True,False,False
1022,E01001048,False,False,False,True,False,True,True,False
1023,E01001049,False,False,False,False,False,True,False,False
1024,E01001050,False,False,False,False,False,True,False,False
1025,E01001051,False,False,False,False,False,False,False,False
1026,E01001052,False,False,False,False,False,False,False,False
1027,E01001053,False,False,False,False,False,False,False,False
1028,E01001054,False,False,False,False,False,False,False,False
1029,E01001055,False,False,False,False,False,False,False,False
1030,E01001056,False,False,False,False,False,False,False,False
1031,E01001057,False,False,False,False,False,False,False,False
1032,E01001058,False,False,False,False,False,False,False,False
1033,E01001059,False,False,False,False,False,False,False,False
1034,E01001060,False,False,False,False,False,False,False,False
1035,E01001061,False,False,False,False,False,False,False,False
1036,E01001062,False,False,False,False,False,False,False,False
1037,E01001063,False,False,False,False,False,False,False,False
1038,E01001064,False,False,False,False,False,False,False,False
1039,E01001065,False,False,False,False,False,False,False,False
1040,E01001066,False,False,False,False,False,False,False,False
1041,E01001067,False,False,False,False,False,False,False,False
1042,E01001068,False,False,False,False,False,False,False,False
1043,E01001069,False,False,False,False,False,False,False,False
1044,E01001070,False,False,False,False,False,False,False,False
1045,E01001071,False,False,False,False,False,True,False,False
1046,E01001072,False,False,False,False,False,False,False,False
1047,E01001073,False,False,False,False,False,False,False,False
1048,E01001074,False,False,False,False,False,False,False,False
1049,E01001075,False,False,False,False,False,False,False,False
1050,E01001076,False,False,False,True,False,False,True,False
1051,E01001077,False,False,False,False,False,False,False,False
1052,E01001078,False,False,False,False,False,False,False,False
1053,E01001079,False,False,False,False,False,False,False,False
1054,E01001080,False,False,False,False,False,False,True,False
1055,E01001081,False,False,False,False,False,False,False,False
1056,E01001082,False,False,False,False,False,False,False,False
1057,E01001083,False,False,False,False,False,False,False,False
1058,E01001084,False,False,False,False,False,False,False,False
1059,E01001085,False,False,False,False,False,False,False,False
1060,E01001086,False,False,False,False,False,False,False,False
1061,E01001087,False,False,False,False,False,False,True,False
1062,E01001088,True,False,False,False,False,False,False,False
1063,E01001089,False,False,False,False,False,False,False,False
1064,E01001090,False,False,False,False,False,False,False,False
