,LSOA,Anti Semitic,Disability,Homophobic,Islamophobic,Racist,Transgender,Faith,Total All Incidents
79,E01000085,0.0,0.0,43.0,0.0,148.0,0.0,0.0,191.0
80,E01000086,0.0,0.0,75.0,41.0,42.0,0.0,21.0,220.0
81,E01000087,0.0,0.0,80.0,0.0,196.0,0.0,0.0,276.0
82,E01000088,0.0,38.0,43.0,0.0,159.0,0.0,115.0,355.0
83,E01000089,0.0,0.0,44.0,0.0,116.0,0.0,0.0,160.0
84,E01000090,0.0,0.0,0.0,42.0,110.0,0.0,22.0,216.0
85,E01000091,0.0,0.0,34.0,0.0,124.0,0.0,0.0,158.0
86,E01000092,0.0,0.0,71.0,82.0,168.0,39.0,22.0,464.0
87,E01000093,0.0,36.0,0.0,75.0,159.0,0.0,61.0,406.0
88,E01000094,0.0,0.0,0.0,0.0,170.0,0.0,0.0,170.0
89,E01000095,0.0,0.0,36.0,36.0,190.0,0.0,85.0,383.0
90,E01000096,0.0,0.0,39.0,38.0,111.0,0.0,31.0,257.0
91,E01000097,0.0,0.0,0.0,72.0,32.0,0.0,45.0,221.0
92,E01000098,0.0,41.0,37.0,41.0,123.0,0.0,21.0,304.0
93,E01000099,0.0,0.0,51.0,0.0,117.0,0.0,0.0,168.0
94,E01000100,0.0,36.0,79.0,0.0,156.0,73.0,0.0,344.0
95,E01000101,0.0,0.0,0.0,0.0,156.0,0.0,0.0,156.0
96,E01000102,0.0,0.0,34.0,40.0,40.0,0.0,25.0,179.0
97,E01000103,0.0,89.0,0.0,36.0,85.0,0.0,25.0,271.0
98,E01000104,0.0,0.0,40.0,0.0,126.0,0.0,0.0,166.0
99,E01000105,0.0,79.0,78.0,111.0,195.0,74.0,78.0,726.0
100,E01000106,0.0,38.0,0.0,38.0,168.0,0.0,31.0,313.0
101,E01000107,0.0,0.0,0.0,34.0,84.0,0.0,27.0,179.0
102,E01000108,0.0,0.0,26.0,0.0,165.0,0.0,0.0,191.0
103,E01000109,0.0,38.0,37.0,0.0,117.0,0.0,0.0,192.0
104,E01000110,0.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0
105,E01000111,171.0,0.0,0.0,0.0,160.0,0.0,-112.0,390.0
106,E01000112,0.0,0.0,0.0,41.0,202.0,0.0,83.0,367.0
107,E01000113,0.0,0.0,85.0,71.0,118.0,0.0,57.0,402.0
108,E01000114,0.0,0.0,39.0,0.0,112.0,39.0,0.0,190.0
109,E01000115,0.0,0.0,38.0,0.0,94.0,0.0,0.0,132.0
110,E01000116,0.0,0.0,35.0,80.0,110.0,0.0,65.0,370.0
111,E01000117,167.0,37.0,0.0,39.0,127.0,0.0,-141.0,435.0
112,E01000118,301.0,42.0,79.0,36.0,149.0,0.0,-217.0,727.0
113,E01000119,0.0,0.0,0.0,43.0,82.0,0.0,27.0,195.0
114,E01000120,0.0,0.0,0.0,0.0,70.0,0.0,58.0,128.0
115,E01000121,123.0,41.0,78.0,46.0,127.0,0.0,-57.0,527.0
116,E01000122,0.0,0.0,41.0,44.0,36.0,0.0,9.0,174.0
117,E01000123,162.0,0.0,0.0,42.0,122.0,0.0,-143.0,387.0
118,E01000124,139.0,70.0,110.0,80.0,211.0,38.0,-93.0,774.0
119,E01000125,294.0,69.0,78.0,38.0,165.0,0.0,-196.0,780.0
120,E01000126,0.0,0.0,0.0,29.0,81.0,0.0,42.0,181.0
121,E01000127,0.0,0.0,35.0,40.0,47.0,0.0,27.0,189.0
122,E01000128,0.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0
123,E01000129,336.0,40.0,71.0,40.0,192.0,30.0,-122.0,963.0
124,E01000130,0.0,0.0,41.0,0.0,177.0,0.0,65.0,283.0
125,E01000131,0.0,0.0,0.0,0.0,163.0,0.0,0.0,163.0
126,E01000132,0.0,0.0,0.0,0.0,161.0,0.0,0.0,161.0
127,E01000133,152.0,0.0,0.0,73.0,77.0,0.0,-110.0,417.0
128,E01000134,504.0,0.0,43.0,73.0,99.0,0.0,-314.0,982.0
129,E01000135,328.0,0.0,0.0,42.0,118.0,0.0,-269.0,589.0
130,E01000136,0.0,0.0,37.0,0.0,78.0,0.0,0.0,115.0
131,E01000137,165.0,0.0,0.0,0.0,79.0,0.0,-105.0,304.0
132,E01000138,0.0,74.0,34.0,0.0,71.0,0.0,0.0,179.0
133,E01000139,291.0,0.0,0.0,44.0,79.0,0.0,-157.0,592.0
134,E01000140,319.0,0.0,73.0,28.0,72.0,0.0,-203.0,636.0
135,E01000141,180.0,0.0,120.0,39.0,194.0,0.0,-167.0,585.0
136,E01000142,155.0,0.0,0.0,43.0,71.0,0.0,-73.0,394.0
137,E01000143,0.0,0.0,39.0,76.0,158.0,0.0,54.0,403.0
138,E01000144,507.0,41.0,79.0,0.0,197.0,0.0,-313.0,1018.0
139,E01000145,302.0,0.0,0.0,45.0,128.0,0.0,-145.0,677.0
140,E01000146,675.0,70.0,86.0,112.0,161.0,75.0,-524.0,1442.0
141,E01000147,0.0,0.0,0.0,0.0,118.0,0.0,0.0,118.0
142,E01000148,149.0,74.0,45.0,40.0,117.0,0.0,-61.0,553.0
143,E01000150,158.0,33.0,0.0,43.0,114.0,0.0,-89.0,460.0
144,E01000151,151.0,110.0,36.0,75.0,113.0,0.0,-31.0,680.0
145,E01000152,0.0,0.0,0.0,36.0,29.0,0.0,12.0,113.0
146,E01000153,0.0,31.0,0.0,0.0,125.0,0.0,0.0,156.0
147,E01000154,0.0,0.0,0.0,40.0,120.0,0.0,91.0,291.0
148,E01000155,158.0,36.0,34.0,41.0,156.0,0.0,-74.0,550.0
149,E01000156,178.0,0.0,30.0,0.0,77.0,0.0,-112.0,351.0
150,E01000157,0.0,0.0,103.0,47.0,85.0,0.0,12.0,294.0
151,E01000158,150.0,0.0,91.0,0.0,131.0,45.0,-89.0,478.0
152,E01000159,0.0,38.0,34.0,0.0,118.0,30.0,0.0,220.0
153,E01000160,0.0,0.0,84.0,34.0,100.0,39.0,29.0,320.0
154,E01000161,0.0,83.0,44.0,0.0,166.0,0.0,54.0,347.0
155,E01000162,480.0,34.0,0.0,42.0,198.0,0.0,-319.0,957.0
156,E01000163,0.0,0.0,41.0,38.0,130.0,0.0,88.0,335.0
